Zip,Latitude,Longitude,State,City,Timezone
680,18.205232,-67.12655,PR,Mayaguez,-4
726,18.212965,-66.058033,PR,Caguas,-4
640,18.077197,-66.359104,PR,Coamo,-4
731,18.077329,-66.61192,PR,Ponce,-4
940,18.410462,-66.060533,PR,San Juan,-4
740,18.331711,-65.62761,PR,Puerto Real,-4
690,18.495369,-67.09867,PR,San Antonio,-4
6487,41.365709,-72.927507,CT,South Britain,-5
6438,41.45307,-72.50345,CT,Haddam,-5
6883,41.216454,-73.37308,CT,Weston,-5
6508,41.365709,-72.927507,CT,New Haven,-5
6503,41.365709,-72.927507,CT,New Haven,-5
6791,41.754872,-73.06927,CT,Harwinton,-5
6533,41.365709,-72.927507,CT,New Haven,-5
20270,38.893311,-77.014647,DC,Washington,-5
20207,38.893311,-77.014647,DC,Washington,-5
20573,38.893311,-77.014647,DC,Washington,-5
32178,29.644306,-81.668593,FL,Palatka,-5
32697,29.931204,-82.42643,FL,Worthington Springs,-5
33124,25.558428,-80.458168,FL,Miami,-5
32082,30.189934,-81.38213,FL,Ponte Vedra Beach,-5
34203,27.448369,-82.52324,FL,Bradenton,-5
33598,27.693924,-82.32758,FL,Wimauma,-5
33784,27.891809,-82.724763,FL,Saint Petersburg,-5
32889,28.566338,-81.260818,FL,Orlando,-5
33650,27.871964,-82.438841,FL,Tampa,-5
33935,26.760476,-81.43029,FL,Labelle,-5
33633,27.871964,-82.438841,FL,Tampa,-5
33133,25.730678,-80.2441,FL,Miami,-5
34997,27.136003,-80.21686,FL,Stuart,-5
34235,27.365549,-82.48659,FL,Sarasota,-5
32011,30.567684,-81.84051,FL,Callahan,-5
32136,29.47033,-81.13316,FL,Flagler Beach,-5
33446,26.452473,-80.16509,FL,Delray Beach,-5
33436,26.530144,-80.10461,FL,Boynton Beach,-5
33991,26.634338,-82.00674,FL,Cape Coral,-5
33877,27.982891,-81.61743,FL,Waverly,-5
33432,26.347305,-80.08552,FL,Boca Raton,-5
31635,31.055578,-83.07103,GA,Lakeland,-5
30806,33.527993,-82.5104,GA,Boneville,-5
30559,34.949755,-84.28317,GA,Mineral Bluff,-5
31067,32.860031,-82.95019,GA,Oconee,-5
31296,32.806707,-83.691315,GA,Macon,-5
30336,33.744007,-84.56032,GA,Atlanta,-5
30646,34.065588,-83.31318,GA,Hull,-5
30080,33.87578,-84.50382,GA,Smyrna,-5
31550,31.101953,-82.58299,GA,Manor,-5
31734,30.88096,-84.42415,GA,Climax,-5
30295,33.101705,-84.31252,GA,Zebulon,-5
30264,33.361003,-84.814173,GA,Newnan,-5
31543,31.320167,-81.85818,GA,Hortense,-5
30093,33.909952,-84.1794,GA,Norcross,-5
30739,34.801988,-85.21956,GA,Rock Spring,-5
30037,33.891251,-84.07456,GA,Decatur,-5
31141,33.891251,-84.07456,GA,Atlanta,-5
31737,31.152253,-84.69653,GA,Colquitt,-5
31631,30.680867,-82.58028,GA,Fargo,-5
31789,31.484091,-83.73515,GA,Sumner,-5
31771,31.256287,-83.66005,GA,Norman Park,-5
47488,39.246268,-86.163826,IN,Hamblen,-5
46506,41.450744,-86.1692,IN,Bremen,-5
47434,39.012984,-86.545732,IN,Harrodsburg,-5
47232,39.129171,-85.8013,IN,Elizabethtown,-5
47870,39.371187,-87.475871,IN,Prairieton,-5
46125,39.522181,-86.64102,IN,Eminence,-5
47895,39.714267,-87.524376,IN,Helt,-5
46986,40.504346,-85.82678,IN,Swayzee,-5
47040,38.944426,-84.91227,IN,Rising Sun,-5
46202,39.782842,-86.15673,IN,Indianapolis,-5
46126,39.61753,-85.88003,IN,Fairland,-5
47272,39.419641,-85.62782,IN,Saint Paul,-5
47124,38.363632,-85.99239,IN,Greenville,-5
47265,39.011225,-85.63325,IN,North Vernon,-5
46945,41.040988,-86.206925,IN,Leiters Ford,-5
46527,41.597739,-85.858076,IN,Goshen,-5
47330,39.802089,-85.00994,IN,Centerville,-5
47427,39.232338,-87.03271,IN,Coal City,-5
47126,38.544777,-85.7737,IN,Henryville,-5
42719,37.337936,-85.330374,KY,Campbellsville,-5
40808,36.981495,-83.25264,KY,Big Laurel,-5
41096,38.61225,-83.808021,KY,Washington,-5
41386,37.473347,-83.81722,KY,Vincent,-5
42783,37.567134,-86.085259,KY,Summit,-5
41262,37.855873,-82.62091,KY,Tomahawk,-5
41747,37.300202,-83.122477,KY,Hardburly,-5
41837,37.135518,-82.74606,KY,Mayking,-5
41344,37.502641,-83.62117,KY,Lerose,-5
41422,37.690636,-83.074592,KY,Elsie,-5
40467,37.416008,-83.993588,KY,Peoples,-5
41421,37.997666,-83.16103,KY,Elkfork,-5
40222,38.26507,-85.61319,KY,Louisville,-5
40391,37.98223,-84.17023,KY,Winchester,-5
40546,38.028269,-84.471505,KY,Lexington,-5
40510,38.064087,-84.60713,KY,Lexington,-5
2561,41.770254,-70.533664,MA,Sagamore,-5
1468,42.557796,-72.06824,MA,Templeton,-5
1612,42.307591,-71.91929,MA,Paxton,-5
2144,42.399546,-71.12165,MA,Somerville,-5
1525,42.364807,-71.896868,MA,Linwood,-5
1915,42.560995,-70.8757,MA,Beverly,-5
2137,42.338947,-70.919635,MA,Readville,-5
2458,42.354727,-71.18809,MA,Newton,-5
2018,41.970474,-70.701357,MA,Accord,-5
1614,42.364807,-71.896868,MA,Worcester,-5
2053,42.151526,-71.42315,MA,Medway,-5
1346,42.669255,-72.80494,MA,Heath,-5
2564,41.273949,-70.015545,MA,Siasconset,-5
2322,42.121932,-71.04522,MA,Avon,-5
2447,42.180048,-71.08923,MA,Brookline Village,-5
2769,41.835067,-71.26115,MA,Rehoboth,-5
2186,42.253074,-71.07496,MA,Milton,-5
1844,42.73004,-71.17935,MA,Methuen,-5
2070,42.180048,-71.08923,MA,Sheldonville,-5
2154,42.388938,-71.2398,MA,Waltham,-5
1003,42.369562,-72.63599,MA,Amherst,-5
2648,41.667689,-70.4168,MA,Marstons Mills,-5
1862,42.573592,-71.2911,MA,North Billerica,-5
1151,42.153926,-72.50531,MA,Indian Orchard,-5
21219,39.229258,-76.44898,MD,Sparrows Point,-5
20719,38.833563,-76.877743,MD,Bowie,-5
20601,38.634306,-76.86008,MD,Waldorf,-5
21679,38.925358,-76.05652,MD,Wye Mills,-5
20685,38.448869,-76.49776,MD,Saint Leonard,-5
21723,39.319271,-77.02397,MD,Cooksville,-5
20771,38.833563,-76.877743,MD,Greenbelt,-5
21158,39.624705,-77.03086,MD,Westminster,-5
20815,38.97986,-77.08079,MD,Chevy Chase,-5
21734,39.609846,-77.70725,MD,Funkstown,-5
21032,39.04366,-76.58805,MD,Crownsville,-5
4033,44.408078,-70.470703,ME,Freeport,-5
4496,44.657697,-68.8957,ME,Winterport,-5
4265,44.281993,-70.04027,ME,North Monmouth,-5
4051,44.172276,-70.87231,ME,Lovell,-5
4434,44.802184,-69.14212,ME,Etna,-5
4600,44.396951,-68.081184,ME,Winter Harbor,-5
4472,44.560479,-68.69084,ME,Orland,-5
4021,43.798251,-70.26554,ME,Cumberland Center,-5
4730,46.12672,-67.87798,ME,Houlton,-5
4936,45.325768,-70.54062,ME,Eustis,-5
4268,44.223589,-70.58366,ME,Norway,-5
4686,45.002969,-67.495548,ME,Wesley,-5
4965,44.845899,-69.36775,ME,Palmyra,-5
4015,43.952597,-70.51377,ME,Casco,-5
48727,43.314176,-83.18115,MI,Clifford,-5
48161,41.904793,-83.41669,MI,Monroe,-5
48027,42.952553,-82.68571,MI,Goodells,-5
48223,42.394586,-83.24422,MI,Detroit,-5
49689,44.209541,-85.9109,MI,Wellston,-5
48876,42.640719,-84.73826,MI,Potterville,-5
48160,42.081363,-83.68414,MI,Milan,-5
48124,42.294987,-83.25049,MI,Dearborn,-5
49582,44.544624,-85.832785,MI,Colfax,-5
49305,43.747406,-85.16304,MI,Barryton,-5
48088,42.516851,-82.982757,MI,Warren,-5
49301,42.97252,-85.47798,MI,Ada,-5
48701,43.587817,-83.53468,MI,Akron,-5
49688,44.117243,-85.43612,MI,Tustin,-5
48177,41.807647,-83.579334,MI,Samaria,-5
48118,42.316922,-84.03445,MI,Chelsea,-5
49509,42.905877,-85.70392,MI,Grand Rapids,-5
49670,45.107479,-85.62347,MI,Northport,-5
48305,42.569278,-82.911243,MI,Clinton,-5
27536,36.340681,-78.39425,NC,Henderson,-5
28518,34.911417,-77.77153,NC,Beulaville,-5
27587,35.97154,-78.52241,NC,Wake Forest,-5
27017,36.367258,-80.72296,NC,Dobson,-5
28644,36.43591,-81.27736,NC,Laurel Springs,-5
28319,34.595364,-79.197058,NC,Barnesville,-5
27292,35.775789,-80.23174,NC,Lexington,-5
27872,36.203511,-77.24791,NC,Roxobel,-5
27706,35.993143,-78.93735,NC,Durham,-5
27046,36.488575,-80.09267,NC,Sandy Ridge,-5
27927,36.435092,-75.84497,NC,Corolla,-5
27809,36.032405,-77.78636,NC,Battleboro,-5
28671,35.753767,-81.53545,NC,Rutherford College,-5
28796,35.29118,-82.41453,NC,East Flat Rock,-5
27322,36.392135,-79.773094,NC,Reidsville,-5
27574,36.416628,-78.970224,NC,Roxboro,-5
28243,35.26002,-80.804151,NC,Charlotte,-5
27835,35.588523,-77.353092,NC,Greenville,-5
27152,36.027482,-80.20728,NC,Winston Salem,-5
28072,35.614966,-80.44198,NC,Granite Quarry,-5
28556,35.124491,-76.66595,NC,Merritt,-5
28541,34.692056,-77.391199,NC,Jacksonville,-5
27323,36.392135,-79.773094,NC,Reidsville,-5
28258,35.26002,-80.804151,NC,Charlotte,-5
3874,42.88439,-70.85466,NH,Seabrook,-5
3108,42.952124,-71.653939,NH,Manchester,-5
3252,43.468562,-71.537145,NH,Lochmere,-5
8605,40.280531,-74.712018,NJ,Trenton,-5
8010,40.058211,-74.91404,NJ,Beverly,-5
7717,40.191809,-74.01688,NJ,Avon By The Sea,-5
7882,40.753753,-74.99617,NJ,Washington,-5
8759,39.943541,-74.36949,NJ,Whiting,-5
8212,38.936896,-74.96526,NJ,Cape May Point,-5
8017,39.574175,-74.719502,NJ,Elwood-Magnolia,-5
7646,40.936211,-74.0188,NJ,New Milford,-5
7008,40.582504,-74.22997,NJ,Carteret,-5
8087,39.59899,-74.36573,NJ,Tuckerton,-5
13438,43.349682,-75.15821,NY,Remsen,-5
10024,40.786387,-73.97709,NY,New York,-5
11760,40.810246,-73.191789,NY,Hauppauge,-5
13736,42.306877,-76.204,NY,Berkshire,-5
14664,43.286024,-77.684264,NY,Rochester,-5
12040,42.646742,-73.371611,NY,Cherry Plain,-5
13202,43.045066,-76.14994,NY,Syracuse,-5
10988,41.314931,-74.550346,NY,Unionville,-5
14433,43.07351,-76.87557,NY,Clyde,-5
10605,41.01002,-73.75158,NY,White Plains,-5
14220,42.845758,-78.8187,NY,Buffalo,-5
11961,40.89609,-72.87824,NY,Ridge,-5
12170,42.975154,-73.66576,NY,Stillwater,-5
14863,42.451569,-76.706717,NY,Mecklenburg,-5
12862,43.675377,-73.932509,NY,Riparius,-5
12417,41.907604,-73.989254,NY,Connelly,-5
14481,42.780121,-77.91499,NY,Leicester,-5
11230,40.622994,-73.96427,NY,Brooklyn,-5
12879,44.145678,-73.815204,NY,Newcomb,-5
10311,40.605245,-74.179485,NY,Staten Island,-5
12059,42.621933,-74.05574,NY,East Berne,-5
11226,40.645256,-73.95553,NY,Brooklyn,-5
11209,40.62327,-74.0295,NY,Brooklyn,-5
12195,42.479384,-73.474809,NY,West Lebanon,-5
14865,42.352725,-76.84258,NY,Montour Falls,-5
12245,42.614852,-73.970812,NY,Albany,-5
13751,42.424859,-74.900195,NY,Davenport Center,-5
14133,42.489129,-78.366991,NY,Sandusky,-5
12583,42.060034,-73.88393,NY,Tivoli,-5
10027,40.812665,-73.95499,NY,New York,-5
10301,40.631775,-74.09432,NY,Staten Island,-5
14585,42.901162,-77.54848,NY,West Bloomfield,-5
11251,40.645099,-73.945032,NY,Brooklyn,-5
14610,43.142259,-77.54587,NY,Rochester,-5
11103,40.762968,-73.91091,NY,Astoria,-5
14432,42.965372,-77.14416,NY,Clifton Springs,-5
13124,42.639288,-75.82012,NY,North Pitcher,-5
12418,42.357579,-74.15136,NY,Cornwallville,-5
11790,40.906174,-73.12748,NY,Stony Brook,-5
13794,42.402816,-76.036582,NY,Killawog,-5
12721,41.564426,-74.4265,NY,Bloomingburg,-5
12058,42.350557,-73.91978,NY,Earlton,-5
10550,40.907607,-73.83709,NY,Mount Vernon,-5
12193,42.515818,-74.04978,NY,Westerlo,-5
10473,40.818514,-73.85893,NY,Bronx,-5
10702,41.119008,-73.732996,NY,Yonkers,-5
14075,42.734051,-78.8413,NY,Hamburg,-5
11051,40.754757,-73.601772,NY,Port Washington,-5
13784,42.431068,-76.159312,NY,Harford,-5
11429,40.708833,-73.73903,NY,Queens Village,-5
14413,43.222735,-76.982149,NY,Alton,-5
11043,40.754757,-73.601772,NY,New Hyde Park,-5
10026,40.802853,-73.95471,NY,New York,-5
10111,40.759235,-73.97775,NY,New York,-5
11557,40.639534,-73.69253,NY,Hewlett,-5
14502,43.08786,-77.33068,NY,Macedon,-5
44507,41.074508,-80.65562,OH,Youngstown,-5
43903,40.469171,-80.93363,OH,Amsterdam,-5
44827,40.795521,-82.74991,OH,Crestline,-5
45856,41.112413,-83.99136,OH,Leipsic,-5
45221,39.166759,-84.53822,OH,Cincinnati,-5
43083,40.102185,-83.83786,OH,Westville,-5
43466,41.28953,-83.50215,OH,Wayne,-5
43733,39.923616,-81.542965,OH,Derwent,-5
43047,40.204914,-83.646581,OH,Mingo,-5
44811,41.257163,-82.84296,OH,Bellevue,-5
45415,39.837256,-84.26016,OH,Dayton,-5
45014,39.330356,-84.55277,OH,Fairfield,-5
45211,39.154159,-84.60527,OH,Cincinnati,-5
43523,41.341081,-84.000532,OH,Grelton,-5
45148,39.290475,-83.88767,OH,Midland,-5
43747,39.862128,-81.11139,OH,Jerusalem,-5
45389,40.055737,-84.02525,OH,Christiansburg,-5
